"no","issn","title","title_main","comments","subjects","subj_codes"
1,"2587-7534","Abyss (Вопросы философии, политологии и социальной антропологии)","Abyss","(Вопросы философии, политологии и социальной антропологии)","с 28.09.2021: 5.6.4. Этнология, антропология и этнография | 5.7.6. Философия науки и техники | 5.7.7. Социальная и политическая философия | 5.7.8. Философская антропология, философия культуры | 5.5.2. Политические институты, процессы, технологии","5.5.2 | 5.6.4 | 5.7.6 | 5.7.7 | 5.7.8"
2,"2077-9038","Academia. Архитектура и строительство","Academia. Архитектура и строительство",NA,"с 01.02.2022: 2.1.1. Строительные конструкции, здания и сооружения | 2.1.2. Основания и фундаменты, подземные сооружения | 2.1.3. Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение | 2.1.5. Строительные материалы и изделия | 2.1.7. Технология и организация строительства | 2.1.9. Строительная механика | 2.1.11. Теория и история архитектуры, реставрация и реконструкция историко- архитектурного наследия | 2.1.12. Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности | 2.1.13. Градостроительство, планировка сельских населенных пунктов | 5.6.6. История науки и техники || с 28.12.2018: 17.00.04 – Изобразительное и","17.00.04 | 2.1.1 | 2.1.11 | 2.1.12 | 2.1.13 | 2.1.2 | 2.1.3 | 2.1.5 | 2.1.7 | 2.1.9 | 5.6.6"
3,"2541-9420","Acta biomedica scientifica (перевод наименования на государственный язык Российской Федерации: Научный биомедицинский журнал) (До 02.10.2017 г. наименование в Перечне «Бюллетень Восточно-Сибирского научного центра СО РАМН (Bulletin of the East Siberian Scientific Center SB RAMS"" ISSN 1811-0649)","Acta biomedica scientifica","(перевод наименования на государственный язык Российской Федерации: Научный биомедицинский журнал)","с 01.02.2022: 3.1.21. Педиатрия | 3.1.22. Инфекционные болезни | 3.1.24. Неврология | 3.1.26. Фтизиатрия | 3.1.4. Акушерство и гинекология | 3.1.5. Офтальмология | 3.1.8. Травматология и ортопедия | 3.1.9. Хирургия | 3.2.2. Эпидемиология | 3.3.3. Патологическая физиология | 3.3.6. Фармакология, клиническая фармакология","3.1.21 | 3.1.22 | 3.1.24 | 3.1.26 | 3.1.4 | 3.1.5 | 3.1.8 | 3.1.9 | 3.2.2 | 3.3.3 | 3.3.6"
4,"2306-5737","Acta Linguistica Petropolitana. Труды Института лингвистических исследований РАН","Acta Linguistica Petropolitana. Труды Института лингвистических исследований РАН",NA,"по 16.10.2022: 10.02.01 – Русский язык | 10.02.03 – Славянские языки | 10.02.04 – Германские языки | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание | 10.02.22 – Языки народов зарубежных стран Европы, Азии, Африки, аборигенов Америки и Австралии || с 01.02.2022: 5.6.4. Этнология, антропология и этнография | 5.9.4. Фольклористика | 5.9.7. Классическая, византийская и новогреческая филология || с 28.12.2018: 10.01.01 – Русская литература","10.01.01 | 10.02.01 | 10.02.03 | 10.02.04 | 10.02.19 | 10.02.20 | 10.02.22 | 5.6.4 | 5.9.4 | 5.9.7"
5,"2413-4864","Acta medica Eurasica (перевод наименования на государственный язык Российской Федерации: Медицинский вестник Евразии)","Acta medica Eurasica","(перевод наименования на государственный язык Российской Федерации: Медицинский вестник Евразии)","с 17.06.2022: 1.5.22. Клеточная биология | 3.1.7. Стоматология | 3.1.17. Психиатрия и наркология | 3.1.18. Внутренние болезни | 3.1.25. Лучевая диагностика | 3.3.6. Фармакология, клиническая фармакология","1.5.22 | 3.1.17 | 3.1.18 | 3.1.25 | 3.1.7 | 3.3.6"
6,"2687-1653","Advanced Engineering Research (перевод наименования на государственный язык Российской Федерации: Современные инженерные исследования) (до 22.12.2020 наименование в Перечне «Вестник Донского государственного технического университета» ISSN 1992-5980)","Advanced Engineering Research","(перевод наименования на государственный язык Российской Федерации: Современные инженерные исследования)","по 16.10.2022: 01.02.06 – Динамика, прочность машин, приборов и аппаратуры | 05.02.02 – Машиноведение системы приводов и детали машин | 05.02.11 – Методы контроля и диагностика в машиностроении | 05.13.17 – Теоретические основы информатики || с 01.02.2022: 1.1.8. Механика деформируемого твердого тела | 1.2.2. Математическое моделирование, численные методы и комплексы программ | 2.3.5. Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей | 2.5.3. Трение и износ в машинах | 2.5.5. Технология и оборудование механической и физико-технической обработки | 2.5.6. Технология машиностроения | 2.5.8. Сварка, родственные процессы и технологии || с 28.12.2018: 01.02.01 – Теоретическая механика","01.02.01 | 01.02.06 | 05.02.02 | 05.02.11 | 05.13.17 | 1.1.8 | 1.2.2 | 2.3.5 | 2.5.3 | 2.5.5 | 2.5.6 | 2.5.8"
7,"2409-5087","Advances in Law Studies (перевод наименования на государственный язык Российской Федерации: Достижения в праве)","Advances in Law Studies","(перевод наименования на государственный язык Российской Федерации: Достижения в праве)","по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.14 – Административное право; административный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.14"
8,"2658-5553","AlfaBuild (перевод наименование на государственный язык Российской Федерации: Основы строительства)","AlfaBuild","(перевод наименование на государственный язык Российской Федерации: Основы строительства)","с 01.02.2022: 2.1.1. Строительные конструкции, здания и сооружения | 2.1.2. Основания и фундаменты, подземные сооружения | 2.1.5. Строительные материалы и изделия","2.1.1 | 2.1.2 | 2.1.5"
9,"1026-955X","Alma mater (Вестник высшей школы)","Alma mater","(Вестник высшей школы)","с 01.02.2022: 5.4.4. Социальная структура, социальные институты и процессы | 5.4.5. Политическая социология | 5.4.7. Социология управления | 5.7.6. Философия науки и техники | 5.7.7. Социальная и политическая философия","5.4.4 | 5.4.5 | 5.4.7 | 5.7.6 | 5.7.7"
10,"2782-6201","AlterEconomics (перевод наименования на государственный язык Российской Федерации: АльтерЭкономика) (до 20.07.2022 наименование в Перечне «Журнал экономической теории» ISSN 2073-6517)","AlterEconomics","(перевод наименования на государственный язык Российской Федерации: АльтерЭкономика)","по 16.10.2022: 08.00.13 – Математические и инструментальные методы экономики || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 08.00.13 | 5.2.1 | 5.2.4"
11,"2218-9173","Ars Administrandi (перевод наименование на государственный язык Российской Федерации: Искусство управления)","Ars Administrandi","(перевод наименование на государственный язык Российской Федерации: Искусство управления)","по 16.10.2022: 23.00.05 – Политическая регионалистика. Этнополитика || с 01.022022: 5.5.2. Политические институты, процессы, технологии || с 28.12.2018: 23.00.01 – Теория и философия","23.00.01 | 23.00.05 | 5.5.2"
12,"2411-6262","Baikal Research Journal (перевод наименование на государственный язык Российской Федерации: Байкальский научный журнал)","Baikal Research Journal","(перевод наименование на государственный язык Российской Федерации: Байкальский научный журнал)","по 16.10.2022: 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 19.00.05 – Социальная психология || с 01.02.2022: 5.2.4. Финансы | 5.3.1. Общая психология, психология личности, история психологии || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 12.00.08 | 19.00.05 | 5.2.4 | 5.3.1"
13,"2713-1629","BENEFICIUM (перевод наименование на государственный язык Российской Федерации: БЕНЕФИЦИУМ)","BENEFICIUM","(перевод наименование на государственный язык Российской Федерации: БЕНЕФИЦИУМ)","с 25.12.2020: 08.00.05 – Экономика и управление","08.00.05"
