"no","title","oecd","score","q","issn1","issn2"
1,"Успехи химии","01.04.00","1,461","1","0042-1308","1817-5651"
2,"Supercomputing Frontiers and Innovations","01.01.00","1,454","1","2409-6008","2313-8734"
3,"Успехи математических наук","01.01.00","1,392","1","0042-1316","2305-2872"
4,"Математический сборник","01.01.00","1,318","1","0368-8666","2305-2783"
5,"Известия Российской академии наук. Серия математическая","01.01.00","1,064","1","1607-0046","2587-5906"
6,"Математические труды","01.01.00","1,021","1","1560-750X",NA
7,"Regular and Chaotic Dynamics","01.01.00","1,018","1","1560-3547","1468-4845"
8,"Археология, этнография и антропология Евразии","06.01.00","0,945","1","1563-0102","2410-7182"
9,"Журнал вычислительной математики и математической физики","01.01.00","0,921","1","0044-4669",NA
10,"Дифференциальные уравнения","01.01.00","0,896","1","0374-0641",NA
11,"Успехи физических наук","01.03.00","0,834","1","0042-1294","1996-6652"
12,"Компьютерная оптика","01.01.00","0,829","1","0134-2452","2412-6179"
13,"Математические заметки","01.01.00","0,827","1","0025-567X","2305-2880"
14,"Почвоведение","01.05.00","0,812","1","0032-180X",NA
15,"Сибирский журнал индустриальной математики","01.01.00","0,808","1","1560-7518",NA
16,"Геотектоника","01.05.00","0,805","1","0016-853X",NA
17,"Авиационные материалы и технологии","02.03.00","0,802","1","2071-9140","2713-0193"
18,"Сибирский математический журнал","01.01.00","0,752","1","0037-4474",NA
19,"Lobachevskii Journal of Mathematics","01.01.00","0,749","1","1995-0802","1818-9962"
20,"Записки Горного института","01.05.00","0,742","1","2411-3336","2541-9404"
21,"Математическое моделирование","01.01.00","0,738","1","0234-0879",NA
22,"Прикладная математика и механика","01.01.00","0,734","1","0032-8235",NA
23,"Биохимия","01.06.00","0,731","1","0320-9725",NA
24,"Проблемы передачи информации","01.01.00","0,705","1","0555-2923",NA
25,"Дискретная математика","01.01.00","0,700","1","0234-0860","2305-3143"
26,"Алгебра и логика","01.01.00","0,697","1","0373-9252",NA
27,"Автоматика и телемеханика","01.01.00","0,694","1","0005-2310",NA
28,"Российская археология","06.01.00","0,683","1","0869-6063",NA
29,"Петрология","01.05.00","0,675","1","0869-5903",NA
30,"Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия Естественные науки","01.01.00","0,674","1","1812-3368","2686-8768"
31,"Алгебра и анализ","01.01.00","0,672","1","0234-0852",NA
32,"Теоретическая и математическая физика","01.01.00","0,665","1","0564-6162","2305-3135"
33,"Известия высших учебных заведений. Прикладная нелинейная динамика","01.01.00","0,664","1","0869-6632","2542-1905"
34,"Стратиграфия. Геологическая корреляция","01.05.00","0,654","1","0869-592X",NA
35,"Известия Иркутского государственного университета. Серия: Математика","01.01.00","0,649","1","1997-7670","2541-8785"
36,"Труды Математического института имени В.А. Стеклова","01.01.00","0,643","1","0371-9685",NA
37,"Журнал неорганической химии","01.04.00","0,633","1","0044-457X",NA
38,"Вопросы образования","05.03.00","0,628","1","1814-9545","2412-4354"
39,"Magazine of Civil Engineering","02.01.00","0,628","1",NA,"2712-8172"
40,"Известия высших учебных заведений. Математика","01.01.00","0,625","1","0021-3446","2076-4626"
41,"Химическая физика","01.04.00","0,622","1","0207-401X",NA
42,"Форсайт","05.02.00","0,619","1","1995-459X","2312-9972"
43,"Вестник Удмуртского университета. Математика. Механика. Компьютерные науки","01.01.00","0,614","1","1994-9197","2076-5959"
44,"Вычислительная механика сплошных сред","01.01.00","0,613","1","1999-6691",NA
45,"Russian Journal of Nonlinear Dynamics","01.01.00","0,611","1","2658-5324","2658-5316"
46,"Сибирский журнал вычислительной математики","01.01.00","0,609","1","1560-7526",NA
47,"Физическая мезомеханика","01.03.00","0,603","1","1683-805X",NA
48,"Stratum plus. Археология и культурная антропология","06.01.00","0,601","1","1608-9057","1857-3533"
49,"Физика Земли","01.05.00","0,590","1","0002-3337",NA
50,"Информатика и ее применения","01.01.00","0,584","1","1992-2264","2310-9912"
51,"Физика металлов и металловедение","01.03.00","0,584","1","0015-3230",NA
52,"Акустический журнал","01.03.00","0,581","1","0320-7919",NA
53,"Палеонтологический журнал","01.05.00","0,580","1","0031-031X",NA
54,"Вестник Самарского государственного технического университета. Серия: Физико- математические науки","01.01.00","0,579","1","1991-8615","2310-7081"
55,"Теоретические основы химической технологии","01.04.00","0,577","1","0040-3571",NA
56,"Земледелие","04.01.00","0,570","1","0044-3913",NA
57,"Демографическое обозрение","05.04.00","0,567","1",NA,"2409-2274"
58,"Nature Conservation Research. Заповедная наука","01.06.00","0,567","1","2500-008X",NA
59,"Acta Naturae (русскоязычная версия)","01.06.00","0,565","1","2075-8243",NA
60,"Уральский исторический вестник","06.01.00","0,562","1","1728-9718",NA
61,"Координационная химия","01.04.00","0,557","1","0132-344X",NA
62,"Известия Академии наук. Серия химическая","01.04.00","0,557","1","1026-3500","2658-784X"
63,"Функциональный анализ и его приложения","01.01.00","0,557","1","0374-1990","2305-2899"
64,"Компьютерные исследования и моделирование","01.01.00","0,556","1","2076-7633","2077-6853"
65,"Микробиология","01.06.00","0,556","1","0026-3656",NA
66,"Ural Mathematical Journal","01.01.00","0,556","1",NA,"2414-3952"
67,"Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика","01.01.00","0,553","1","2305-9052","2410-7034"
68,"Уфимский математический журнал","01.01.00","0,548","1","2074-1863","2074-1871"
69,"Геомагнетизм и аэрономия","01.03.00","0,548","1","0016-7940",NA
70,"Мир России. Социология. Этнология","05.04.00","0,547","1","1811-038X","1811-0398"
71,"Сибирские электронные математические известия","01.01.00","0,546","1",NA,"1813-3304"
72,"Высокомолекулярные соединения. Серия С","01.04.00","0,545","1","2308-1147","2412-9860"
73,"Кинетика и катализ","01.04.00","0,545","1","0453-8811",NA
74,"Новейшая история России","06.01.00","0,545","1","2219-9659","2309-7973"
75,"Аридные экосистемы","01.05.00","0,542","1","1993-3916",NA
76,"Труды института математики и механики УрО РАН","01.01.00","0,533","1","0134-4889","2658-4786"
